date,algorithm,structure,dataType,distribution,size,iteration,time_us
2026-05-18 19:27:50,shell,array,int,random,25000,36,1270
2026-05-18 19:27:50,shell,array,int,random,25000,37,1262
2026-05-18 19:27:50,shell,array,int,random,25000,38,1304
2026-05-18 19:27:50,shell,array,int,random,25000,39,1240
2026-05-18 19:27:50,shell,array,int,random,25000,40,1217
2026-05-18 19:27:50,shell,array,int,random,25000,41,1203
2026-05-18 19:27:50,shell,array,int,random,25000,42,1236
2026-05-18 19:27:50,shell,array,int,random,25000,43,1208
2026-05-18 19:27:50,shell,array,int,random,25000,44,1218
2026-05-18 19:27:50,shell,array,int,random,25000,45,1230
2026-05-18 19:27:50,shell,array,int,random,25000,46,1188
2026-05-18 19:27:50,shell,array,int,random,25000,47,1208
2026-05-18 19:27:50,shell,array,int,random,25000,48,1219
2026-05-18 19:27:50,shell,array,int,random,25000,49,1201
2026-05-18 19:27:50,shell,array,int,random,25000,50,1229
2026-05-18 19:27:50,shell,array,int,random,25000,51,1199
2026-05-18 19:27:50,shell,array,int,random,25000,52,1193
2026-05-18 19:27:50,shell,array,int,random,25000,53,1229
2026-05-18 19:27:50,shell,array,int,random,25000,54,1206
2026-05-18 19:27:50,shell,array,int,random,25000,55,1232
2026-05-18 19:27:50,shell,array,int,random,25000,56,1212
2026-05-18 19:27:50,shell,array,int,random,25000,57,1215
2026-05-18 19:27:50,shell,array,int,random,25000,58,1191
2026-05-18 19:27:50,shell,array,int,random,25000,59,1218
2026-05-18 19:27:50,shell,array,int,random,25000,60,1195
2026-05-18 19:27:50,shell,array,int,random,25000,61,1196
2026-05-18 19:27:50,shell,array,int,random,25000,62,1227
2026-05-18 19:27:50,shell,array,int,random,25000,63,1263
2026-05-18 19:27:50,shell,array,int,random,25000,64,1227
2026-05-18 19:27:50,shell,array,int,random,25000,65,1216
2026-05-18 19:27:50,shell,array,int,random,25000,66,1206
2026-05-18 19:27:50,shell,array,int,random,25000,67,1219
2026-05-18 19:27:50,shell,array,int,random,25000,avg,1226
2026-05-18 19:27:50,shell,array,int,random,25000,min,1188
2026-05-18 19:27:50,shell,array,int,random,25000,max,1321
